,strain_db,strain_api,error details,organism_type
1137,5808,12678,--,2
1138,5809,12679,--,2
1139,5810,12680,--,2
1140,5811,12681,--,2
1141,5812,12682,--,2
1142,5813,12683,--,2
1143,5814,12684,--,2
1144,5815,12685,--,2
1145,5816,12686,--,2
1146,5817,12687,--,2
1147,5818,12688,-1,3
1148,5819,12689,--,2
1149,5820,12690,-1,3
1150,5821,12691,--,2
1151,5822,12692,-1,3
1152,5823,12693,--,2
1153,5824,12694,--,2
1154,5825,12695,--,2
1155,5826,12696,--,2
1156,5828,12697,--,2
1157,5829,12698,--,2
1158,5830,12699,--,2
1159,5831,12700,--,2
1160,5832,12701,--,2
1161,5833,12702,-1,3
1162,5834,12703,-1,3
1163,5835,12704,--,2
1164,5836,12705,--,2
1165,5837,12706,--,2
1166,5838,12707,-1,3
1167,5839,12708,--,2
1168,5840,12709,--,2
1169,5841,12710,--,2
1170,5842,12711,--,2
1171,5843,12712,--,2
1172,5844,12713,--,2
1173,5846,12714,--,2
1174,5847,12715,-1,3
1175,5848,12716,--,2
1176,5849,12717,-1,3
1177,5850,12718,--,2
1178,5851,12719,--,2
1179,5852,12720,-1,3
1180,5853,12721,--,2
1181,5854,12722,--,2
1182,5855,12723,--,2
1183,5856,12724,--,2
1184,5857,12725,--,2
1185,5858,12726,-1,3
1186,5859,12727,-1,3
1187,5860,12728,--,2
1188,5861,12729,--,2
1189,5862,12730,--,2
1190,5863,12731,--,2
1191,5864,12732,--,2
1192,5865,12733,--,2
1193,5866,12734,--,2
1194,5867,12735,-1,3
1195,5868,12736,--,2
1196,5869,12737,--,2
1197,5870,12738,--,2
1198,5871,12739,--,2
1199,5872,12740,--,2
1200,5873,12741,--,2
1201,5874,12742,--,2
1202,5875,12743,--,2
1203,5876,12744,-1,3
1204,5877,12745,--,2
1205,5878,12746,--,2
1206,5879,12747,-1,3
1207,5880,12748,--,2
1208,5881,12749,--,2
1209,5882,12750,-1,3
1210,5883,12751,--,2
1211,5884,12752,--,2
1212,5885,12753,--,2
1213,5886,12754,--,2
1214,5887,12755,--,2
1215,5888,12756,--,2
1216,5889,12757,--,2
1217,5890,12758,-1,3
1218,5891,12759,--,2
1219,5892,12760,--,2
1220,5893,12761,--,2
1221,5894,12762,--,2
1222,5895,12763,--,2
1223,5896,12764,-1,3
1224,5897,12765,--,2
1225,5898,12766,-1,3
1226,5899,12767,-1,3
1227,5900,12768,--,2
1228,5901,12769,--,2
1229,5902,12770,--,2
1230,5903,12771,--,2
1231,5904,12772,--,2
1232,5905,12773,--,2
1233,5906,12774,-1,3
1234,5907,12775,--,2
1235,5908,12776,--,2
1236,5909,12777,--,2
1237,5910,12778,--,2
1238,5911,12779,--,2
1239,5912,12780,--,2
1240,5913,12781,--,2
1241,5914,12782,--,2
1242,5915,12783,--,2
1243,5916,12784,--,2
1244,5917,12785,--,2
1245,5918,12786,--,2
1246,5919,12787,--,2
1247,5920,12788,--,2
1248,5921,12789,--,2
1249,5922,12790,--,2
1250,5923,12791,--,2
1251,5924,12792,--,2
1252,5925,12793,--,2
1253,5926,12794,--,2
1254,5927,12795,--,2
1255,5928,12796,-1,3
1256,5929,12797,-1,3
1257,5930,12798,-1,3
1258,5931,12799,-1,3
1259,5932,12800,-1,3
1260,5933,12801,-1,3
1261,5934,12802,--,2
1262,5935,12803,--,2
1263,5936,12804,--,2
1264,5937,12805,--,2
1265,5938,12806,--,2
1266,5939,12807,--,2
1267,5940,12808,-1,3
1268,5941,12809,--,2
1269,5942,12810,--,2
1270,5943,12811,--,2
1271,5944,12812,-1,3
1272,5945,12813,--,2
1273,5946,12814,--,2
1274,5947,12815,--,2
1275,5948,12816,--,2
1276,5949,12817,--,2
1277,5950,12818,--,2
1278,5951,12819,--,2
1279,5952,12820,--,2
1280,5953,12821,-1,3
1281,5954,12822,--,2
1282,5955,12823,--,2
1283,5956,12824,--,2
1284,5957,12825,--,2
1285,5958,12826,--,2
1286,5959,12827,-1,3
1287,5960,12828,-1,3
1288,5961,12829,--,2
1289,5962,12830,--,2
1290,5963,12831,-1,3
1291,5964,12832,--,2
1292,5965,12833,-1,3
1293,5966,12834,-1,3
1294,5967,12835,--,2
1295,5968,12836,--,2
1296,5969,12837,--,2
1297,5970,12838,-1,3
1298,5971,12839,--,2
1299,5972,12840,--,2
1300,5973,12841,-1,3
1301,5974,12842,-1,3
1302,5975,12843,-1,3
1303,5976,12844,--,2
1304,5977,12845,-1,3
1305,5978,12846,--,2
1306,5979,12847,--,2
1307,5980,12848,--,2
1308,5981,12849,--,2
1309,5982,12850,--,2
1310,5983,12851,--,2
1311,5984,12852,--,2
1312,5985,12853,--,2
1313,5986,12854,-1,3
1314,5987,12855,--,2
1315,5988,12856,-1,3
1316,5989,12857,-1,3
1317,5990,12858,--,2
1318,5991,12859,--,2
1319,5992,12860,--,2
1320,5993,12861,--,2
1321,5994,12862,--,2
1322,5995,12863,--,2
1323,5996,12864,--,2
1324,5997,12865,--,2
1325,5998,12866,-1,3
1326,5999,12867,--,2
1327,6000,12868,--,2
1328,6001,12869,--,2
1329,6002,12870,-1,3
1330,6003,12871,--,2
1331,6004,12872,--,2
1332,6005,12873,--,2
1333,6006,12874,-1,3
1334,6007,12875,--,2
1335,6008,12876,--,2
1336,6009,12877,--,2
1337,6010,12878,--,2
1338,6011,12879,--,2
1339,6012,12880,-1,3
1340,6013,12881,--,2
1341,6014,12882,--,2
1342,6015,12883,--,2
1343,6016,12884,-1,3
1344,6017,12885,-1,3
1345,6018,12886,--,2
1346,6019,12887,--,2
1347,6020,12888,--,2
1348,6021,12889,-1,3
1349,6022,12890,--,2
1350,6023,12891,-1,3
1351,6024,12892,--,2
1352,6025,12893,--,2
1353,6026,12894,--,2
1354,6027,12895,--,2
1355,6028,12896,--,2
1356,6029,12897,--,2
1357,6030,12898,--,2
1358,6031,12899,--,2
1359,6032,12900,--,2
1360,6033,12901,-1,3
1361,6034,12902,-1,3
1362,6035,12903,--,2
1363,6036,12904,--,2
1364,6037,12905,--,2
1365,6038,12906,--,2
1366,6039,12907,--,2
1367,6040,12908,--,2
1368,6041,12909,--,2
1369,6042,12910,--,2
1370,6043,12911,--,2
1371,6044,12912,--,2
1372,6045,12913,-1,3
1373,6046,12914,--,2
1374,6047,12915,--,2
1375,6048,12916,--,2
1376,6049,12917,--,2
1377,6050,12918,-1,3
1378,6051,12919,--,2
1379,6052,12920,-1,3
1380,6053,12921,-1,3
1381,6054,12922,-1,3
1382,6055,12923,--,2
1383,6056,12924,--,2
1384,6057,12925,--,2
1385,6058,12926,--,2
1386,6059,12927,--,2
1387,6060,12928,--,2
1388,6061,12929,-1,3
1389,6067,12930,--,2
1390,6069,12931,--,2
1391,6070,12932,--,2
1392,6071,12933,--,2
1393,6072,12934,-1,3
1394,6073,12935,--,2
1395,6074,12936,-1,3
1396,6075,12937,--,2
1397,6076,12938,--,2
1398,6077,12939,-1,3
1399,6079,12940,--,2
1400,6080,12941,--,2
1401,6081,12942,--,2
1402,6082,12943,--,2
1403,6083,12944,-1,3
1404,6084,12945,--,2
1405,6085,12946,--,2
1406,6086,12947,-1,3
1407,6087,12948,--,2
1408,6088,12949,--,2
1409,6089,12950,--,2
1410,6090,12951,--,2
1411,6091,12952,--,2
1412,6092,12953,--,2
1413,6093,12954,--,2
1414,6094,12955,-1,3
1415,6095,12956,--,2
1416,6096,12957,--,2
1417,6097,12958,--,2
1418,6098,12959,--,2
1419,6099,12960,--,2
1420,6100,12961,-1,3
1421,6101,12962,-1,3
1422,6102,12963,--,2
1423,6103,12964,--,2
1424,6104,12965,--,2
1425,6105,12966,--,2
1426,6106,12967,--,2
1427,6107,12968,--,2
1428,6108,12969,--,2
1429,6109,12970,--,2
1430,6110,12971,-1,3
1431,6111,12972,--,2
1432,6112,12973,-1,3
1433,6113,12974,--,2
1434,6114,12975,-1,3
1435,6115,12976,--,2
1436,6116,12977,--,2
1437,6117,12978,--,2
1438,6118,12979,--,2
1439,6119,12980,--,2
1440,6120,12981,--,2
1441,6121,12982,-1,3
1442,6122,12983,-1,3
1443,6123,12984,--,2
1444,6124,12985,--,2
1445,6125,12986,--,2
1446,6126,12987,--,2
1447,6127,12988,--,2
1448,6128,12989,-1,3
1449,6129,12990,--,2
1450,6130,12991,-1,3
1451,6131,12992,--,2
1452,6132,12993,--,2
1453,6133,12994,--,2
1454,6134,12995,--,2
1455,6135,12996,--,2
1456,6136,12997,--,2
1457,6137,12998,--,2
1458,6138,12999,--,2
1459,6139,13000,--,2
1460,6140,13001,-1,3
1461,6141,13002,-1,3
1462,6142,13003,--,2
1463,6143,13004,--,2
1464,6144,13005,--,2
1465,6145,13006,--,2
1466,6146,13007,--,2
1467,6147,13008,--,2
1468,6148,13009,--,2
1469,6149,13010,--,2
1470,6150,13011,--,2
1471,6151,13012,--,2
1472,6152,13013,--,2
1473,6153,13014,-1,3
1474,6154,13015,--,2
1475,6155,13016,--,2
1476,6156,13017,--,2
1477,6157,13018,--,2
1478,6158,13019,-1,3
1479,6159,13020,--,2
1480,6160,13021,--,2
1481,6161,13022,--,2
1482,6162,13023,--,2
1483,6163,13024,--,2
1484,6164,13025,--,2
1485,6165,13026,--,2
1486,6166,13027,--,2
1487,6167,13028,--,2
1488,6168,13029,--,2
1489,6169,13030,--,2
1490,6170,13031,--,2
1491,6171,13032,--,2
1492,6172,13033,--,2
1493,6173,13034,--,2
1494,6174,13035,--,2
1495,6175,13036,--,2
1496,6176,13037,-1,3
1497,6177,13038,-1,3
1498,6178,13039,--,2
1499,6179,13040,-1,3
1500,6180,13041,-1,3
1501,6181,13042,--,2
1502,6182,13043,--,2
1503,6183,13044,--,2
1504,6184,13045,--,2
1505,6185,13046,--,2
1506,6186,13047,--,2
1507,6187,13048,--,2
1508,6188,13049,--,2
1509,6189,13050,--,2
1510,6190,13051,--,2
1511,6191,13052,--,2
1512,6192,13053,--,2
1513,6193,13054,--,2
1514,6194,13055,--,2
1515,6195,13056,-1,3
1516,6196,13057,--,2
1517,6197,13058,-1,3
1518,6198,13059,--,2
1519,6199,13060,--,2
1520,6200,13061,--,2
1521,6201,13062,--,2
1522,6202,13063,-1,3
1523,6203,13064,--,2
1524,6204,13065,--,2
1525,6205,13066,--,2
1526,6206,13067,-1,3
1527,6207,13068,--,2
1528,6208,13069,--,2
1529,6209,13070,--,2
1530,6210,13071,--,2
1531,6211,13072,--,2
1532,6212,13073,--,2
1533,6213,13074,-1,3
1534,6214,13075,--,2
1535,6215,13076,-1,3
1536,6216,13077,--,2
1537,6217,13078,--,2
1538,6218,13079,--,2
1539,6219,13080,--,2
1540,6220,13081,--,2
1541,6221,13082,--,2
1542,6222,13083,--,2
1543,6223,13084,--,2
1544,6224,13085,--,2
1545,6225,13086,--,2
1546,6226,13087,--,2
1547,6227,13088,--,2
1548,6228,13089,--,2
1549,6229,13090,--,2
1550,6230,13091,--,2
1551,6231,13092,--,2
1552,6232,13093,--,2
1553,6233,13094,--,2
1554,6234,13095,--,2
1555,6235,13096,--,2
1556,6236,13097,-1,3
1557,6237,13098,--,2
1558,6238,13099,-1,3
1559,6239,13100,--,2
1560,6240,13101,--,2
1561,6241,13102,--,2
1562,6242,13103,--,2
1563,6243,13104,--,2
1564,6244,13105,--,2
1565,6245,13106,-1,3
1566,6246,13107,--,2
1567,6247,13108,--,2
1568,6248,13109,--,2
1569,6249,13110,--,2
1570,6251,13111,--,2
1571,6252,13112,-1,3
1572,6253,13113,--,2
1573,6254,13114,--,2
1574,6255,13115,--,2
1575,6256,13116,--,2
1576,6257,13117,--,2
1577,6258,13118,--,2
1578,6259,13119,--,2
1579,6260,13120,--,2
1580,6261,13121,--,2
1581,6262,13122,--,2
1582,6263,13123,--,2
1583,6264,13124,--,2
1584,6265,13125,--,2
1585,6266,13126,--,2
1586,6267,13127,--,2
1587,6268,13128,--,2
1588,6269,13129,--,2
1589,6270,13130,--,2
1590,6271,13131,--,2
1591,6272,13132,--,2
1592,6273,13133,--,2
1593,6274,13134,--,2
1594,6275,13135,--,2
1595,6276,13136,-1,3
1596,6277,13137,--,2
1597,6279,13138,--,2
1598,6280,13139,--,2
1599,6281,13140,--,2
1600,6282,13141,--,2
1601,6283,13142,--,2
1602,6284,13143,--,2
1603,6285,13144,--,2
1604,6286,13145,-1,3
1605,6287,13146,--,2
1606,6288,13147,--,2
1607,6289,13148,--,2
1608,6290,13149,--,2
1609,6291,13150,--,2
1610,6292,13151,--,2
1611,6293,13152,-1,3
1612,6294,13153,--,2
1613,6295,13154,--,2
1614,6296,13155,--,2
1615,6297,13156,--,2
1616,6298,13157,--,2
1617,6299,13158,--,2
1618,6300,13159,--,2
1619,6301,13160,--,2
1620,6302,13161,--,2
1621,6303,13162,-1,3
1622,6304,13163,--,2
1623,6305,13164,--,2
1624,6306,13165,--,2
1625,6307,13166,--,2
1626,6308,13167,--,2
1627,6309,13168,--,2
1628,6310,13169,--,2
1629,6311,13170,--,2
1630,6312,13171,--,2
1631,6313,13172,-1,3
1632,6314,13173,-1,3
1633,6315,13174,--,2
1634,6316,13175,--,2
1635,6317,13176,--,2
1636,6318,13177,--,2
1637,6319,13178,--,2
1638,6320,13179,-1,3
1639,6321,13180,-1,3
1640,6322,13181,--,2
1641,6323,13182,--,2
1642,6324,13183,--,2
1643,6325,13184,--,2
1644,6327,13185,--,2
1645,6328,13186,--,2
1646,6329,13187,--,2
1647,6330,13188,--,2
1648,6331,13189,--,2
1649,6332,13190,--,2
1650,6333,13191,--,2
1651,6334,13192,--,2
1652,6335,13193,--,2
1653,6336,13194,-1,3
1654,6337,13195,--,2
1655,6338,13196,--,2
1656,6339,13197,--,2
1657,6340,13198,-1,3
1658,6341,13199,-1,3
1659,6342,13200,--,2
1660,6343,13201,--,2
1661,6344,13202,--,2
1662,6345,13203,--,2
1663,6346,13204,--,2
1664,6347,13205,--,2
1665,6348,13206,-1,3
1666,6349,13207,--,2
1667,6350,13208,--,2
1668,6351,13209,--,2
1669,6352,13210,-1,3
1670,6353,13211,--,2
1671,6354,13212,--,2
1672,6355,13213,-1,3
1673,6356,13214,-1,3
1674,6357,13215,-1,3
1675,6358,13216,--,2
1676,6359,13217,-1,3
1677,6360,13218,-1,3
1678,6361,13219,--,2
1679,6362,13220,--,2
1680,6363,13221,--,2
1681,6364,13222,--,2
1682,6365,13223,-1,3
1683,6366,13224,--,2
1684,6367,13225,-1,3
1685,6368,13226,--,2
1686,6369,13227,-1,3
1687,6370,13228,--,2
1688,6371,13229,--,2
1689,6372,13230,--,2
1690,6373,13231,--,2
1691,6374,13232,--,2
1692,6376,13233,--,2
1693,6377,13234,--,2
1694,6378,13235,--,2
1695,6379,13236,--,2
1696,6380,13237,-1,3
1697,6381,13238,--,2
1698,6382,13239,--,2
1699,6383,13240,--,2
1700,6384,13241,--,2
1701,6385,13242,--,2
1702,6386,13243,--,2
1703,6387,13244,--,2
1704,6388,13245,--,2
1705,6389,13246,--,2
1706,6390,13247,--,2
1707,6392,13248,--,2
1708,6393,13249,--,2
1709,6394,13250,--,2
1710,6395,13251,--,2
1711,6396,13252,--,2
1712,6397,13253,--,2
1713,6398,13254,--,2
1714,6399,13255,--,2
1715,6400,13256,--,2
1716,6401,13257,--,2
1717,6402,13258,--,2
1718,6403,13259,--,2
1719,6404,13260,-1,3
1720,6405,13261,-1,3
1721,6406,13262,--,2
1722,6407,13263,--,2
1723,6409,13264,--,2
1724,6410,13265,--,2
1725,6411,13266,--,2
1726,6412,13267,--,2
1727,6413,13268,-1,3
1728,6414,13269,-1,3
1729,6415,13270,--,2
1730,6416,13271,--,2
1731,6417,13272,--,2
1732,6418,13273,--,2
1733,6419,13274,--,2
1734,6420,13275,--,2
1735,6421,13276,--,2
1736,6422,13277,--,2
1737,6423,13278,--,2
1738,6424,13279,--,2
1739,6425,13280,--,2
1740,6426,13281,--,2
1741,6427,13282,-1,3
1742,6428,13283,--,2
1743,6429,13284,--,2
1744,6430,13285,-1,3
1745,6431,13286,--,2
1746,6432,13287,--,2
1747,6433,13288,-1,3
1748,6434,13289,-1,3
1749,6435,13290,--,2
1750,6436,13291,--,2
1751,6437,13292,--,2
1752,6438,13293,--,2
1753,6439,13294,--,2
1754,6440,13295,--,2
1755,6441,13296,--,2
1756,6442,13297,--,2
1757,6443,13298,--,2
1758,6444,13299,--,2
1759,6445,13300,--,2
1760,6446,13301,--,2
1761,6447,13302,--,2
1762,6448,13303,--,2
1763,6449,13304,--,2
1764,6450,13305,--,2
1765,6451,13306,--,2
1766,6452,13307,--,2
1767,6453,13308,-1,3
1768,6454,13309,--,2
1769,6455,13310,--,2
1770,6456,13311,--,2
1771,6457,13312,--,2
1772,6458,13313,--,2
1773,6459,13314,--,2
1774,6460,13315,--,2
1775,6461,13316,--,2
1776,6462,13317,--,2
1777,6463,13318,--,2
1778,6464,13319,--,2
1779,6465,13320,-1,3
1780,6466,13321,--,2
1781,6467,13322,--,2
1782,6468,13323,--,2
1783,6469,13324,--,2
1784,6470,13325,--,2
1785,6471,13326,--,2
1786,6472,13327,--,2
1787,6473,13328,-1,3
1788,6474,13329,-1,3
1789,6475,13330,--,2
1790,6476,13331,-1,3
1791,6477,13332,--,2
1792,6478,13333,--,2
1793,6479,13334,--,2
1794,6480,13335,--,2
1795,6481,13336,--,2
1796,6482,13337,--,2
1797,6483,13338,--,2
1798,6484,13339,--,2
1799,6485,13340,--,2
1800,6486,13341,--,2
1801,6487,13342,--,2
1802,6488,13343,--,2
1803,6489,13344,--,2
1804,6490,13345,--,2
1805,6491,13346,--,2
1806,6492,13347,--,2
1807,6493,13348,--,2
1808,6494,13349,--,2
1809,6495,13350,--,2
1810,6496,13351,--,2
1811,6497,13352,--,2
1812,6498,13353,--,2
1813,6499,13354,--,2
1814,6500,13355,--,2
1815,6501,13356,-1,3
1816,6502,13357,--,2
1817,6503,13358,--,2
1818,6504,13359,--,2
1819,6505,13360,--,2
1820,6506,13361,--,2
1821,6507,13362,--,2
1822,6508,13363,--,2
1823,6509,13364,-1,3
1824,6510,13365,--,2
1825,6511,13366,-1,3
1826,6512,13367,-1,3
1827,6514,13368,-1,3
1828,6515,13369,--,2
1829,6516,13370,--,2
1830,6517,13371,--,2
1831,6518,13372,--,2
1832,6519,13373,--,2
1833,6520,13374,--,2
1834,6521,13375,--,2
1835,6522,13376,--,2
1836,6523,13377,-1,3
1837,6524,13378,--,2
1838,6525,13379,--,2
1839,6526,13380,--,2
1840,6527,13381,-1,3
1841,6528,13382,--,2
1842,6529,13383,-1,3
1843,6530,13384,--,2
1844,6531,13385,--,2
1845,6532,13386,--,2
1846,6533,13387,-1,3
1847,6534,13388,-1,3
1848,6535,13389,--,2
1849,6536,13390,--,2
1850,6537,13391,-1,3
1851,6538,13392,--,2
1852,6539,13393,-1,3
1853,6540,13394,--,2
1854,6782,13395,--,2
1855,6541,13396,--,2
1856,6542,13397,--,2
1857,6543,13398,--,2
1858,6544,13399,--,2
1859,6545,13400,--,2
1860,6546,13401,--,2
1861,6547,13402,--,2
1862,6548,13403,--,2
1863,6549,13404,-1,3
1864,6550,13405,-1,3
1865,6551,13406,--,2
1866,6552,13407,--,2
1867,6553,13408,--,2
1868,6554,13409,--,2
1869,6555,13410,--,2
1870,6556,13411,--,2
1871,6557,13412,--,2
1872,6558,13413,--,2
1873,6559,13414,--,2
1874,6560,13415,--,2
1875,6561,13416,-1,3
1876,6562,13417,--,2
1877,6563,13418,--,2
1878,6564,13419,--,2
1879,6565,13420,--,2
1880,6566,13421,--,2
1881,6567,13422,-1,3
1882,6568,13423,--,2
1883,6569,13424,--,2
1884,6570,13425,--,2
1885,6571,13426,-1,3
1886,6572,13427,-1,3
1887,6573,13428,--,2
1888,6574,13429,--,2
1889,6575,13430,-1,3
1890,6576,13431,--,2
1891,6577,13432,-1,3
1892,6578,13433,--,2
1893,6579,13434,-1,3
1894,6580,13435,--,2
1895,6581,13436,--,2
1896,6582,13437,-1,3
1897,6583,13438,--,2
1898,6584,13439,--,2
1899,6585,13440,--,2
1900,6586,13441,--,2
1901,6587,13442,--,2
1902,6588,13443,--,2
1903,6589,13444,--,2
1904,6590,13445,--,2
1905,6591,13446,-1,3
1906,6592,13447,--,2
1907,6593,13448,--,2
1908,6594,13449,--,2
1909,6595,13450,--,2
1910,6596,13451,--,2
1911,6597,13452,--,2
1912,6598,13453,--,2
1913,6599,13454,--,2
1914,6600,13455,-1,3
1915,6601,13456,--,2
1916,6602,13457,--,2
1917,6603,13458,--,2
1918,6604,13459,--,2
1919,6605,13460,--,2
1920,6606,13461,--,2
1921,6607,13462,--,2
1922,6608,13463,--,2
1923,6609,13464,--,2
1924,6610,13465,--,2
1925,6611,13466,--,2
1926,6612,13467,--,2
1927,6613,13468,--,2
1928,6614,13469,--,2
1929,6615,13470,--,2
1930,6616,13471,-1,3
1931,6617,13472,--,2
1932,6618,13473,--,2
1933,6619,13474,--,2
1934,6620,13475,--,2
1935,6621,13476,--,2
1936,6622,13477,--,2
1937,6623,13478,--,2
1938,6624,13479,--,2
1939,6625,13480,-1,3
1940,6626,13481,--,2
1941,6627,13482,-1,3
1942,6628,13483,-1,3
1943,6629,13484,--,2
1944,6630,13485,--,2
1945,6631,13486,--,2
1946,6632,13487,--,2
1947,6633,13488,--,2
1948,6634,13489,-1,3
1949,6635,13490,--,2
1950,6636,13491,-1,3
1951,6637,13492,--,2
1952,6638,13493,--,2
1953,6639,13494,--,2
1954,6640,13495,--,2
1955,6641,13496,--,2
1956,6642,13497,--,2
1957,6643,13498,--,2
1958,6644,13499,-1,3
1959,6645,13500,--,2
1960,6646,13501,--,2
1961,6647,13502,-1,3
1962,6648,13503,--,2
1963,6649,13504,--,2
1964,6650,13505,--,2
1965,6651,13506,--,2
1966,6652,13507,--,2
1967,6653,13508,--,2
1968,6654,13509,--,2
1969,6655,13510,--,2
1970,6656,13511,--,2
1971,6657,13512,--,2
1972,6658,13513,-1,3
1973,6659,13514,--,2
1974,6660,13515,-1,3
1975,6661,13516,--,2
1976,6662,13517,--,2
1977,6663,13518,--,2
1978,6664,13519,--,2
1979,6665,13520,--,2
1980,6666,13521,--,2
1981,6667,13522,--,2
1982,6668,13523,--,2
1983,6669,13524,--,2
1984,6670,13525,--,2
1985,6671,13526,--,2
1986,6672,13527,-1,3
1987,6673,13528,--,2
1988,6674,13529,--,2
1989,6675,13530,--,2
1990,6676,13531,--,2
1991,6677,13532,--,2
1992,6678,13533,--,2
1993,6679,13534,--,2
1994,6680,13535,--,2
1995,6681,13536,-1,3
1996,6682,13537,-1,3
1997,6683,13538,--,2
1998,6684,13539,--,2
1999,6685,13540,--,2
2000,6686,13541,--,2
2001,6687,13542,--,2
2002,6688,13543,--,2
2003,6689,13544,-1,3
2004,6690,13545,-1,3
2005,6691,13546,--,2
2006,6692,13547,--,2
2007,6713,13548,--,2
2008,6736,13549,--,2
2009,6757,13550,--,2
2010,6761,13551,--,2
2011,6803,13552,--,2
2012,6824,13553,--,2
2013,6825,13554,--,2
2014,6835,13555,--,2
2015,6856,13556,--,2
2016,6869,13557,--,2
2017,6890,13558,--,2
2018,6891,13559,--,2
2019,6892,13560,--,2
2020,6898,13561,--,2
2021,6900,13562,--,2
2022,6901,13563,--,2
2023,6904,13564,--,2
2024,6912,13565,--,2
2025,6919,13566,--,2
2026,6920,13567,--,2
2027,6921,13568,--,2
2028,6922,13569,--,2
2029,6923,13570,--,2
2030,6924,13571,--,2
2031,6925,13572,--,2
2032,6926,13573,--,2
2033,6927,13574,--,2
2034,6928,13575,--,2
2035,6929,13576,--,2
2036,6930,13577,--,2
2037,6931,13578,--,2
2038,6932,13579,--,2
2039,6933,13580,--,2
2040,6934,13581,--,2
2041,6935,13582,--,2
2042,6936,13583,--,2
2043,6957,13584,--,2
2044,6958,13585,--,2
2045,6959,13586,--,2
2046,6961,13587,--,2
2047,6962,13588,--,2
2048,6963,13589,--,2
2049,6964,13590,--,2
2050,6965,13591,--,2
2051,6966,13592,--,2
2052,6967,13593,--,2
2053,6968,13594,--,2
2054,6969,13595,--,2
2055,6978,13596,--,2
2056,6979,13597,--,2
2057,6980,13598,--,2
2058,6981,13599,--,2
2059,6982,13600,--,2
2060,6983,13601,--,2
2061,6986,13602,--,2
2062,6987,13603,--,2
2063,6988,13604,--,2
2064,6989,13605,--,2
2065,6990,13606,--,2
2066,6991,13607,--,2
2067,6992,13608,--,2
2068,6994,13609,--,2
2069,6996,13610,--,2
2070,6997,13611,--,2
2071,6998,13612,--,2
2072,6999,13613,--,2
2073,7000,13614,--,2
2074,7001,13615,--,2
2075,7002,13616,--,2
2076,7003,13617,--,2
2077,7004,13618,--,2
2078,7005,13619,--,2
2079,7006,13620,--,2
2080,7007,13621,--,2
2081,7008,13622,--,2
2082,7012,13623,--,2
2083,7013,13624,--,2
2084,7015,13625,--,2
2085,7016,13626,--,2
2086,7017,13627,--,2
2087,7018,13628,--,2
2088,7020,13629,--,2
2089,7022,13630,--,2
2090,7042,13631,--,2
2091,7043,13632,--,2
2092,7044,13633,--,2
2093,7045,13634,--,2
2094,7046,13635,--,2
2095,7047,13636,--,2
2096,7068,13637,--,2
2097,7069,13638,--,2
2098,7075,13639,--,2
2099,7078,13640,--,2
2100,7079,13641,--,2
2101,7080,13642,--,2
2102,7082,13643,--,2
2103,7083,13644,--,2
2104,7102,13645,--,2
2105,7103,13646,--,2
2106,7104,13647,--,2
2107,7105,13648,--,2
2108,7106,13649,--,2
2109,7107,13650,--,2
2110,7108,13651,--,2
2111,7128,13652,--,2
2112,7129,13653,--,2
2113,7130,13654,--,2
2114,7142,13655,--,2
2115,7143,13656,--,2
2116,7148,13657,--,2
2117,7157,13658,--,2
2118,7158,13659,--,2
2119,7159,13660,--,2
2120,7160,13661,--,2
2121,7161,13662,--,2
2122,7182,13663,--,2
2123,7183,13664,--,2
2124,7184,13665,--,2
2125,7190,13666,--,2
2126,7191,13667,--,2
2127,7192,13668,--,2
2128,7193,13669,--,2
2129,7195,13670,--,2
2130,7216,13671,--,2
2131,7217,13672,--,2
2132,7219,13673,--,2
2133,7220,13674,--,2
2134,7221,13675,--,2
2135,7222,13676,--,2
2136,7224,13677,--,2
2137,7225,13678,--,2
2138,7226,13679,--,2
2139,7227,13680,--,2
2140,7228,13681,--,2
2141,7229,13682,--,2
2142,7231,13683,--,2
2143,7232,13684,--,2
2144,7233,13685,--,2
2145,7234,13686,--,2
2146,7235,13687,--,2
2147,7244,13688,--,2
2148,7245,13689,--,2
2149,7246,13690,--,2
2150,7247,13691,--,2
2151,7261,13692,--,2
2152,7262,13693,--,2
2153,7263,13694,--,2
2154,7264,13695,--,2
2155,7265,13696,--,2
2156,7266,13697,--,2
2157,7267,13698,--,2
2158,7268,13699,--,2
2159,7269,13700,--,2
2160,7270,13701,--,2
2161,7272,13702,--,2
2162,7273,13703,--,2
2163,7274,13704,--,2
2164,7294,13705,--,2
2165,7295,13706,--,2
2166,7296,13707,--,2
2167,7297,13708,--,2
2168,7299,13709,--,2
2169,7300,13710,--,2
2170,7301,13711,--,2
2171,7302,13712,--,2
2172,7303,13713,--,2
2173,7304,13714,--,2
2174,7305,13715,--,2
2175,7306,13716,--,2
2176,7307,13717,--,2
2177,7308,13718,--,2
2178,7309,13719,--,2
2179,7310,13720,--,2
2180,7312,13721,--,2
2181,7313,13722,--,2
2182,7314,13723,--,2
2183,7315,13724,--,2
2184,7316,13725,--,2
2185,7318,13726,--,2
2186,7335,13727,--,2
2187,7336,13728,--,2
2188,7337,13729,--,2
2189,7339,13730,--,2
2190,7341,13731,--,2
2191,7358,13732,--,2
2192,7359,13733,--,2
2193,7360,13734,--,2
2194,7361,13735,--,2
2195,7363,13736,--,2
2196,7364,13737,--,2
2197,7365,13738,--,2
2198,7366,13739,--,2
